License Serial Number,License Type Name,License Class Code,License Type Code,Agency Zone Office Name,Agency Zone Office Number,County Name (Licensee),Premises Name,Doing Business As (DBA),Actual Address of Premises (Address1),Additional Address Information (Address2),City,State,Zip,License Certificate Number,License Original Issue Date,License Effective Date,License Expiration Date,Latitude,Longitude,Location
1144535,ON-PREMISES LIQUOR,252,OP,New York,1,BRONX,GUNHILL ROAD CARIBBEAN REST INC,,2 EAST GUNHILL ROAD,CORNER JEROME AVENUE,BRONX,NY,10467,854333,01/23/2008,10/01/2015,09/30/2017,40.8826435011,-73.8812322465,"(40.8826435011, -73.8812322465)"
1287292,LIQUOR STORE,222,L,New York,1,BRONX,PEACE LIQUOR & WINE INC,,344 E GUNHILL RD,,BRONX,NY,10467,854573,08/18/2015,08/18/2015,07/31/2018,40.87873,-73.87296,"(40.87873, -73.87296)"
1146072,ON-PREMISES LIQUOR,252,OP,New York,1,BRONX,KLASSIQUE BAR & LOUNGE INC,,3813 BOSTON ROAD,BAYCHESTER AVE & DEREIMER AVE,BRONX,NY,10466,856572,02/27/2004,02/01/2016,01/31/2018,40.8815437114,-73.8383110761,"(40.8815437114, -73.8383110761)"
1287395,LIQUOR STORE,222,L,New York,1,BRONX,NI LIQUOR STORE CORP,,764B E 149TH ST,,BRONX,NY,10455,854686,09/11/2015,09/11/2015,08/31/2018,40.81285,-73.90751,"(40.81285, -73.90751)"
1147453,ON-PREMISES LIQUOR,252,OP,New York,1,BRONX,GMB GROUP LLC,XPRESSIONS,3601 BOSTON RD,222ND STREET & 223RD STREET,BRONX,NY,10466,859356,04/07/2004,04/01/2016,03/31/2018,40.8791787589,-73.8433602328,"(40.8791787589, -73.8433602328)"
1151543,LIQUOR STORE,222,L,New York,1,BRONX,PENA LIQUOR CORP,,706 FAILE ST,FAILE STREET & HUNTS POINT AVE,BRONX,NY,10474,887174,12/03/2004,12/02/2016,11/30/2019,40.8146501778,-73.8864498091,"(40.8146501778, -73.8864498091)"
1151983,ON-PREMISES LIQUOR,252,OP,New York,1,BRONX,LA SABROSURA RESTAURANT CORP,,25A EAST 170TH STREET,,BRONX,NY,10452,865204,09/13/2004,09/01/2016,08/31/2018,40.8399994995,-73.9166190638,"(40.8399994995, -73.9166190638)"
1153224,ON-PREMISES LIQUOR,252,OP,New York,1,BRONX,"DUGOUT INC, THE",DUGOUT,880 RIVER AVENUE,161ST &  162ND STREETS,BRONX,NY,10451,864193,07/14/2004,07/06/2016,06/30/2018,40.8281630236,-73.9256471911,"(40.8281630236, -73.9256471911)"
1153518,ON-PREMISES LIQUOR,252,OP,New York,1,BRONX,TROPICAL BAR RESTAURANT CORP,TROPICAL BAR RESTAURANT,64 E 183RD ST,WALTON  & MORRIS,BRONX,NY,10453,859702,09/22/2006,06/01/2016,05/31/2018,40.8582468438,-73.9025187411,"(40.8582468438, -73.9025187411)"
1154795,ON-PREMISES LIQUOR,252,OP,New York,1,BRONX,JBM OF CITY ISLAND INC,CITY ISLAND DINER/SNUG,302-304 CITY ISLAND AVE,FORDHAM & HAWKINS,BRONX,NY,10464,864840,10/20/2004,10/01/2016,09/30/2018,40.8470849651,-73.7863561339,"(40.8470849651, -73.7863561339)"
1154908,LIQUOR STORE,222,L,New York,1,BRONX,JIN FA LIQUORS INC,,50B W BURNSIDE AVE,GRAND AVE & HARRISON AVE,BRONX,NY,10453,886558,11/01/2004,11/01/2016,10/31/2019,40.8539272128,-73.9094943978,"(40.8539272128, -73.9094943978)"
1160818,ON-PREMISES LIQUOR,252,OP,New York,1,BRONX,OLGA RESTAURANT CORP,,1324 JEROME AVE,,BRONX,NY,10452,846704,06/28/2005,06/01/2015,05/31/2017,40.8385522307,-73.9187417774,"(40.8385522307, -73.9187417774)"
1163786,LIQUOR STORE,222,L,New York,1,BRONX,EXOTIC LIQUORS INC,,2399 WESTCHESTER AVENUE,ZEREGA AVENUE & SEABURY AVENUE,BRONX,NY,10461,829311,06/29/2005,06/01/2014,05/31/2017,40.8371868617,-73.8461981673,"(40.8371868617, -73.8461981673)"
1164341,ON-PREMISES LIQUOR,252,OP,New York,1,BRONX,ONE RB RESTAURANT INC,ONE RB RESTAURANT,537 EAST 183RD STREET,3RD AVENUE & WASHINGTON AVENUE,BRONX,NY,10458,850098,07/27/2005,07/01/2015,06/30/2017,40.8545010473,-73.8914773966,"(40.8545010473, -73.8914773966)"
1164828,LIQUOR STORE,222,L,New York,1,BRONX,FERNANDEZ LIQUOR STORE CORP,,402 E 148TH ST,WILLIS AVENUE &,BRONX,NY,10455,861132,09/21/2005,09/01/2014,08/31/2017,40.815116065,-73.9177785063,"(40.815116065, -73.9177785063)"
1166169,ON-PREMISES LIQUOR,252,OP,New York,1,BRONX,COCONUT PALM BAR & GRILL INC,,2407 WESTCHESTER AVE,ZEREGA AVENUE & HERSCHELL ST,BRONX,NY,10461,851406,09/19/2005,09/01/2015,08/31/2017,40.8373304813,-73.8460384993,"(40.8373304813, -73.8460384993)"
1166692,ON-PREMISES LIQUOR,252,OP,New York,1,BRONX,OHANA RESTAURANT CORP,OHANA JAPANESE HIBACH SEAFOOD/STK,500 CITY ISLAND AVENUE,,BRONX,NY,10464,850685,08/19/2005,08/01/2015,07/31/2017,40.8520432841,-73.7890100914,"(40.8520432841, -73.7890100914)"
1168688,ON-PREMISES LIQUOR,252,OP,New York,1,BRONX,FRANKLIN O PAZ MALDONADO,RUINAS DE COPAN RESTAURANT,483 & 485 BROOK AVE,E 147TH STREET & BROOK AVENUE,BRONX,NY,10455,853099,09/23/2005,09/04/2015,08/31/2017,40.8134816986,-73.9158709494,"(40.8134816986, -73.9158709494)"
1169558,ON-PREMISES LIQUOR,252,OP,New York,1,BRONX,VEGA ALTA SPORTS BAR INC,,880 GERARD AVENUE,GERARD AVE & E 161ST ST,BRONX,NY,10452,859664,05/12/2006,05/01/2016,04/30/2018,40.8278286693,-73.9246718073,"(40.8278286693, -73.9246718073)"
