CMPLNT_NUM,CMPLNT_FR_DT,CMPLNT_FR_TM,CMPLNT_TO_DT,CMPLNT_TO_TM,RPT_DT,KY_CD,OFNS_DESC,PD_CD,PD_DESC,CRM_ATPT_CPTD_CD,LAW_CAT_CD,JURIS_DESC,BORO_NM,ADDR_PCT_CD,LOC_OF_OCCUR_DESC,PREM_TYP_DESC,PARKS_NM,HADEVELOPT,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,Lat_Lon
301368354,04/01/2016,14:00:00,02/20/2017,14:00:00,02/27/2017,578,HARRASSMENT 2,638,"HARASSMENT,SUBD 3,4,5",COMPLETED,VIOLATION,N.Y. POLICE DEPT,BRONX,40,INSIDE,RESIDENCE - APT. HOUSE,,,1005041,234533,40.810398494,-73.924895311,"(40.810398494, -73.924895311)"
922486595,04/15/2016,10:30:00,,,03/08/2017,578,HARRASSMENT 2,638,"HARASSMENT,SUBD 3,4,5",COMPLETED,VIOLATION,N.Y. POLICE DEPT,BRONX,43,INSIDE,RESIDENCE - APT. HOUSE,,,1017926,239846,40.824941458,-73.878322473,"(40.824941458, -73.878322473)"
462144573,04/16/2016,19:00:00,,,01/27/2017,361,OFF. AGNST PUB ORD SENSBLTY &,639,AGGRAVATED HARASSMENT 2,COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,BRONX,45,INSIDE,RESIDENCE - APT. HOUSE,,,1025368,245361,40.840047021,-73.851399092,"(40.840047021, -73.851399092)"
720048415,04/22/2016,07:00:00,02/17/2017,07:00:00,02/17/2017,351,CRIMINAL MISCHIEF & RELATED OF,258,"CRIMINAL MISCHIEF 4TH, GRAFFIT",COMPLETED,MISDEMEANOR,N.Y. HOUSING POLICE,BRONX,49,INSIDE,RESIDENCE - PUBLIC HOUSING,,EASTCHESTER GARDENS,1025376,256698,40.871163624,-73.851300629,"(40.871163624, -73.851300629)"
541416366,05/02/2016,14:00:00,,,01/23/2017,578,HARRASSMENT 2,638,"HARASSMENT,SUBD 3,4,5",COMPLETED,VIOLATION,N.Y. HOUSING POLICE,BRONX,49,INSIDE,RESIDENCE - PUBLIC HOUSING,,PARKSIDE,1020546,255511,40.867926856,-73.868771044,"(40.867926856, -73.868771044)"
175422239,05/13/2016,09:00:00,02/13/2017,04:10:00,02/13/2017,578,HARRASSMENT 2,638,"HARASSMENT,SUBD 3,4,5",COMPLETED,VIOLATION,N.Y. POLICE DEPT,BRONX,46,INSIDE,RESIDENCE - APT. HOUSE,,,1007522,247458,40.84586773,-73.915888033,"(40.84586773, -73.915888033)"
134052005,05/16/2016,10:30:00,,,03/21/2017,578,HARRASSMENT 2,638,"HARASSMENT,SUBD 3,4,5",COMPLETED,VIOLATION,N.Y. POLICE DEPT,BRONX,44,,STREET,,,1010577,246998,40.844596586,-73.904847973,"(40.844596586, -73.904847973)"
582083001,05/17/2016,23:20:00,03/27/2017,14:48:00,03/27/2017,361,OFF. AGNST PUB ORD SENSBLTY &,639,AGGRAVATED HARASSMENT 2,COMPLETED,MISDEMEANOR,N.Y. HOUSING POLICE,BRONX,42,INSIDE,RESIDENCE - PUBLIC HOUSING,,WEST FARMS ROAD REHAB,1015518,241579,40.829706898,-73.887015033,"(40.829706898, -73.887015033)"
145312975,06/01/2016,14:00:00,06/07/2016,15:00:00,01/25/2017,578,HARRASSMENT 2,638,"HARASSMENT,SUBD 3,4,5",COMPLETED,VIOLATION,N.Y. HOUSING POLICE,BRONX,40,INSIDE,RESIDENCE - PUBLIC HOUSING,,,1007373,232751,40.805501602,-73.916477255,"(40.805501602, -73.916477255)"
222640325,06/10/2016,12:00:00,03/09/2017,23:00:00,03/10/2017,361,OFF. AGNST PUB ORD SENSBLTY &,639,AGGRAVATED HARASSMENT 2,COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,BRONX,47,INSIDE,RESIDENCE-HOUSE,,,1024589,267878,40.90185281,-73.854078872,"(40.90185281, -73.854078872)"
