BasketType,x,y
H,-73.94959179,40.72390487
S,-73.94339748,40.70747392
S,-73.91630174,40.65530755
S,-73.94348887,40.70786862
S,-73.94939439,40.72440968
S,-73.91655379,40.6551427
B,-73.90820597,40.67021031
S,-73.94582448,40.71419251
S,-73.90781584,40.67026903
S,-73.94979876,40.72428736
S,-73.91635124,40.65494738
S,-73.94197517,40.71161434
S,-73.95024377,40.72411501
S,-73.9170318,40.65483428
S,-73.96702951,40.69317224
S,-73.9574033,40.68900963
S,-73.96996612,40.68759158
B,-73.98513956,40.69043853
S,-73.92917687,40.64228211
B,-73.98375945,40.68868716
S,-73.92622259,40.64214074
S,-73.93111544,40.64218793
B,-73.98333826,40.68885434
S,-73.96133021,40.69415918
S,-73.95531185,40.6895453
S,-73.97076974,40.69174062
B,-73.98360548,40.68895809
B,-73.9934489,40.69440998
S,-73.95181563,40.69000235
B,-73.98069929,40.68902003
B,-73.98432996,40.69012037
B,-73.9873702,40.6943423
S,-73.99585508,40.69312508
S,-73.9482006,40.63981888
S,-73.96284455,40.6827724
S,-73.95120318,40.65054909
S,-73.99467434,40.70065564
S,-73.98289761,40.68599123
S,-73.95181589,40.68963966
S,-73.98294865,40.70240281
S,-73.96962251,40.68792896
H,-73.97844239,40.68996333
H,-73.99118536,40.69246017
H,-73.98701094,40.68796246
S,-73.97380753,40.6871575
S,-73.93625378,40.64152741
S,-73.95728033,40.68828747
S,-73.93799493,40.68372209
S,-73.96710624,40.6934538
S,-73.98653406,40.68826859
S,-73.9729459,40.68944779
S,-73.93856604,40.68475396
S,-73.98685062,40.70170016
S,-73.94017693,40.69473216
S,-73.96545405,40.68991574
B,-73.98612524,40.68882308
B,-73.98464185,40.6902727
S,-73.96738796,40.68970317
S,-73.93820975,40.68478243
S,-73.95449656,40.68707742
S,-73.99112867,40.69272706
B,-73.99335454,40.69468102
B,-73.98638863,40.68893798
S,-73.93847629,40.68403168
S,-73.97438323,40.68709191
B,-73.98148458,40.6892836
S,-73.95453608,40.68558601
S,-73.94856704,40.63979352
S,-73.94120118,40.68517187
S,-73.97052748,40.68749
B,-73.98591365,40.68908755
S,-73.96500702,40.68998365
S,-73.96764063,40.69308036
S,-73.95043688,40.6856096
S,-73.93877589,40.68589491
S,-73.97141222,40.69174466
S,-73.93684238,40.64149009
S,-73.97602945,40.69319529
B,-73.98568396,40.68944144
S,-73.94133357,40.68591135
S,-73.96934634,40.68643232
S,-73.99318235,40.69296749
H,-73.9501309,40.6542504
B,-73.99246046,40.69440403
S,-73.97226639,40.68434105
S,-73.95041961,40.68381705
H,-73.95397709,40.68264943
S,-73.99767522,40.69177411
S,-73.93308434,40.69557377
B,-73.9815511,40.68957112
B,-73.98598201,40.6895408
S,-73.9400489,40.69400406
S,-73.97387444,40.68743542
S,-73.96455741,40.6881707
S,-73.9414361,40.686372
S,-73.95370343,40.68149712
S,-73.9717001,40.69148081
S,-73.94821087,40.64013304
S,-73.94178488,40.68632253
B,-73.98576134,40.68981097
S,-73.97000624,40.68786504
S,-73.92568415,40.64250096
S,-73.93686231,40.64183001
S,-73.96770415,40.693349
S,-73.94156907,40.68738642
S,-73.95339945,40.68154107
B,-73.99217243,40.69434836
S,-73.93364731,40.69588507
S,-73.9388144,40.68773085
B,-73.98802497,40.68991385
B,-73.98170752,40.6898141
S,-73.99286911,40.69803135
S,-73.93933065,40.68843616
S,-73.95325512,40.68092448
S,-73.96010869,40.6886755
S,-73.9344022,40.64195896
S,-73.94177341,40.68812027
S,-73.96696394,40.68975329
B,-73.98780241,40.69024777
S,-73.97447362,40.68733088
S,-73.93945304,40.68914892
S,-73.97056057,40.68780228
S,-73.9531543,40.68025179
B,-73.98512687,40.69074056
B,-73.98696868,40.69482286
S,-73.93717294,40.64147566
S,-73.93945331,40.69106438
H,-73.98821117,40.68967787
S,-73.96797186,40.69305439
H,-73.941909,40.70047417
S,-73.94012281,40.69244726
S,-73.95373871,40.68053018
B,-73.98498506,40.69154276
S,-73.96380658,40.6934115
S,-73.99758008,40.69197819
S,-73.9915413,40.69651465
B,-73.98844953,40.68928463
H,-73.99293664,40.69353515
S,-73.97231193,40.68972586
S,-73.94022428,40.68048305
S,-73.93930675,40.69031393
S,-73.96803407,40.69334559
B,-73.98268264,40.69018971
H,-73.97618418,40.68717659
S,-73.94010793,40.69432583
B,-73.98861511,40.68905126
S,-73.93985263,40.69102011
S,-73.94861946,40.64012414
S,-73.98313806,40.68560579
S,-73.9659019,40.68953025
S,-73.97638913,40.68540475
S,-73.97094045,40.68747597
S,-73.97475438,40.68703631
S,-73.94071049,40.68076573
S,-73.94202633,40.68961449
S,-73.93722443,40.64179855
S,-73.9346051,40.69489904
S,-73.96122788,40.69380463
B,-73.98886643,40.68868366
S,-73.94483636,40.68895105
B,-73.98457253,40.69151917
S,-73.96962196,40.68612472
S,-73.99279564,40.69376486
H,-73.96858136,40.69296099
S,-73.94709539,40.68566966
H,-73.94519767,40.68892649
B,-73.9832244,40.69047376
S,-73.93471825,40.6954072
B,-73.98924441,40.68882553
S,-73.94809342,40.68888379
S,-73.9427695,40.69297409
S,-73.97540894,40.68693871
S,-73.94474766,40.68669802
S,-73.9619742,40.69368305
H,-73.94509957,40.69039759
S,-73.94807232,40.6384681
S,-73.97147526,40.68741175
B,-73.98896902,40.68918914
S,-73.94548627,40.69036447
B,-73.98551412,40.69159232
S,-73.9262628,40.64248935
S,-73.92953107,40.64194586
S,-73.94438414,40.68671744
S,-73.94628565,40.69437448
S,-73.94412981,40.70027481
B,-73.98882407,40.68942572
S,-73.94280275,40.69330749
S,-73.94231807,40.69106865
S,-73.96864649,40.69326947
S,-73.94763556,40.68667253
B,-73.99260755,40.69419497
S,-73.93446391,40.69423436
B,-73.98855932,40.68982997
B,-73.98411132,40.69150036
S,-73.94808335,40.63879578
S,-73.94286725,40.69140734
S,-73.94449634,40.68746292
B,-73.98694187,40.69508357
S,-73.96206962,40.69404147
B,-73.98603941,40.69165055
B,-73.98837158,40.69003055
S,-73.94879387,40.69224566
S,-73.94300619,40.69250066
S,-73.94479715,40.68704031
H,-73.93050958,40.64187775
S,-73.97095923,40.68775855
S,-73.99322898,40.70028731
B,-73.98820256,40.69040039
S,-73.94528496,40.69114762
S,-73.96897042,40.69296635
S,-73.95051855,40.68414124
B,-73.98274996,40.69188932
B,-73.98732155,40.69483777
S,-73.94394932,40.68262755
S,-73.94565381,40.69110295
S,-73.937471,40.69432024
B,-73.98794588,40.69062939
S,-73.96904339,40.69323481
S,-73.94547789,40.69218309
S,-73.94358572,40.68085779
S,-73.93759394,40.69467699
S,-73.97866651,40.68433166
H,-73.97910345,40.6840553
S,-73.9518378,40.69266335
S,-73.94605,40.69211552
H,-73.94618398,40.68002815
B,-73.98604732,40.69111906
H,-73.99210947,40.68979201
B,-73.98937482,40.69038502
S,-73.97300149,40.6897429
S,-73.96954578,40.69294443
S,-73.94808154,40.69083657
S,-73.94657464,40.68004219
S,-73.94028083,40.69320557
B,-73.99078672,40.6893449
B,-73.98953947,40.69011259
S,-73.99728828,40.69188597
S,-73.97031099,40.68607062
S,-73.94310927,40.69472886
S,-73.94824912,40.69157985
B,-73.98552316,40.69062298
S,-73.98331012,40.68538805
S,-73.95307851,40.65047647
S,-73.96351707,40.68293135
S,-73.93784592,40.64176316
B,-73.99020248,40.68914728
B,-73.98650063,40.69169347
